[2021-09-02 00:37:30,092] A: 020036_001, B: 020036_001_1 | MSE | 5.07672341665 | PSNR | 41.07496857478334 | SSMI | 0.97792931839 | Delta_E | 0.455383586339
[2021-09-02 00:37:31,417] A: 020036_002, B: 020036_002_1 | MSE | 4.56075763702 | PSNR | 41.54043366833463 | SSMI | 0.982009770073 | Delta_E | 0.474733304478
[2021-09-02 00:37:32,742] A: 020036_003, B: 020036_003_1 | MSE | 7.52762540181 | PSNR | 39.36422361762815 | SSMI | 0.976027342986 | Delta_E | 0.623229198893
[2021-09-02 00:37:34,065] A: 020036_004, B: 020036_004_1 | MSE | 2.19782416026 | PSNR | 44.710874176778304 | SSMI | 0.987634880504 | Delta_E | 0.27956907916
[2021-09-02 00:37:35,384] A: 020037_001, B: 020037_001_1 | MSE | 10.976785024 | PSNR | 37.72605202063997 | SSMI | 0.955488135674 | Delta_E | 0.612455929017
[2021-09-02 00:37:36,719] A: 020037_002, B: 020037_002_1 | MSE | 5.02832253774 | PSNR | 41.11657233487228 | SSMI | 0.974547473584 | Delta_E | 0.396567012784
[2021-09-02 00:37:38,046] A: 020037_003, B: 020037_003_1 | MSE | 8.59850947062 | PSNR | 38.78657186925183 | SSMI | 0.958832254171 | Delta_E | 0.487799435204
[2021-09-02 00:37:39,376] A: 020037_004, B: 020037_004_1 | MSE | 2.55262374878 | PSNR | 44.060935554138574 | SSMI | 0.982097414892 | Delta_E | 0.259444802194
[2021-09-02 00:37:40,708] A: 020038_001, B: 020038_001_1 | MSE | 3.17772102356 | PSNR | 43.10964593624874 | SSMI | 0.9860297823 | Delta_E | 0.306073411822
[2021-09-02 00:37:42,036] A: 020038_002, B: 020038_002_1 | MSE | 5.11034838359 | PSNR | 41.0462985292274 | SSMI | 0.98395434937 | Delta_E | 0.438116785172
[2021-09-02 00:37:43,358] A: 020038_003, B: 020038_003_1 | MSE | 2.77908802032 | PSNR | 43.69178058733955 | SSMI | 0.987186285202 | Delta_E | 0.277763115379
[2021-09-02 00:37:44,679] A: 020038_004, B: 020038_004_1 | MSE | 3.89197381337 | PSNR | 42.2291045135409 | SSMI | 0.987019255579 | Delta_E | 0.363931107102
[2021-09-02 00:37:46,004] A: 020039_001, B: 020039_001_1 | MSE | 8.15587838491 | PSNR | 39.01609619627077 | SSMI | 0.966199163211 | Delta_E | 0.528120356931
