[2021-09-02 22:17:37,489] A: 026002, B: 026002_870001 | MSE | 16.7236940066 | PSNR | 35.897481482021625 | SSIM | 0.937598747617 | Delta_E | 0.81439605905
[2021-09-02 22:17:37,489] A: 026003, B: 026003_870001 | MSE | 27.8650600115 | PSNR | 33.68020378157007 | SSIM | 0.92054298795 | Delta_E | 0.996603443498
[2021-09-02 22:17:37,489] A: 026004, B: 026004_870001 | MSE | 29.5768519243 | PSNR | 33.42128413812842 | SSIM | 0.915620258443 | Delta_E | 1.10251827519
[2021-09-02 22:17:37,489] A: 026005, B: 026005_870001 | MSE | 6.38984537125 | PSNR | 40.07590012134705 | SSIM | 0.958722545085 | Delta_E | 0.532494339755
[2021-09-02 22:17:37,489] A: 026006, B: 026006_870001 | MSE | 26.0876889229 | PSNR | 33.966447536916455 | SSIM | 0.924606487307 | Delta_E | 0.95451804088
[2021-09-02 22:17:37,489] A: 026007, B: 026007_870001 | MSE | 17.6765781244 | PSNR | 35.656821638525486 | SSIM | 0.943485228281 | Delta_E | 0.958418201843
[2021-09-02 22:17:37,489] A: 026008, B: 026008_870001 | MSE | 29.1259685357 | PSNR | 33.48799984851546 | SSIM | 0.918763092999 | Delta_E | 1.08686427761
[2021-09-02 22:17:37,489] A: 026009, B: 026009_870001 | MSE | 24.1079595089 | PSNR | 34.309199075011826 | SSIM | 0.921152723354 | Delta_E | 1.01097735227
[2021-09-02 22:17:37,490] A: 026010, B: 026010_870001 | MSE | 19.0774277846 | PSNR | 35.325605426098804 | SSIM | 0.915311497693 | Delta_E | 0.858863490045
[2021-09-02 22:17:37,490] A: 026011, B: 026011_870001 | MSE | 9.32400743167 | PSNR | 38.43477749866403 | SSIM | 0.958446713362 | Delta_E | 0.560099251837
[2021-09-02 22:17:37,490] A: 026012, B: 026012_870001 | MSE | 5.22051779429 | PSNR | 40.953667804612444 | SSIM | 0.979393446823 | Delta_E | 0.445573274887
[2021-09-02 22:17:37,490] A: 026013, B: 026013_870001 | MSE | 26.4125160376 | PSNR | 33.91270587104783 | SSIM | 0.90083691577 | Delta_E | 0.951634015218
[2021-09-02 22:17:37,490] A: 026014, B: 026014_870001 | MSE | 1.48479437828 | PSNR | 46.41414046313112 | SSIM | 0.976921096835 | Delta_E | 0.541526979864
[2021-09-02 22:17:37,490] A: 026015, B: 026015_870001 | MSE | 1.74461102486 | PSNR | 45.713817482484245 | SSIM | 0.972662041943 | Delta_E | 0.542905536503
[2021-09-02 22:17:37,490] A: 026016, B: 026016_870001 | MSE | 1.44975845019 | PSNR | 46.51784712073081 | SSIM | 0.977380351396 | Delta_E | 0.533069415369
[2021-09-02 22:17:37,490] A: 026017, B: 026017_870001 | MSE | 1.23246486982 | PSNR | 47.22305811873629 | SSIM | 0.980500918925 | Delta_E | 0.5040771856
[2021-09-02 22:17:37,490] A: 026018, B: 026018_870001 | MSE | 1.30656552315 | PSNR | 46.96949166760257 | SSIM | 0.979344562975 | Delta_E | 0.51048259573
[2021-09-02 22:17:37,490] A: 026019, B: 026019_870001 | MSE | 2.80348571142 | PSNR | 43.653820139055455 | SSIM | 0.975115298304 | Delta_E | 0.548838641913
[2021-09-02 22:17:37,490] A: 026020, B: 026020_870001 | MSE | 1.43372750282 | PSNR | 46.56613744589127 | SSIM | 0.977575685732 | Delta_E | 0.531804540125
[2021-09-02 22:17:37,490] A: 026021, B: 026021_870001 | MSE | 16.6282633146 | PSNR | 35.9223346776905 | SSIM | 0.922647461089 | Delta_E | 0.740239925621
[2021-09-02 22:17:37,490] A: 026022, B: 026022_870001 | MSE | 12.6836558978 | PSNR | 37.09835909578777 | SSIM | 0.941295300525 | Delta_E | 0.728597070195
[2021-09-02 22:17:37,490] A: 026023, B: 026023_870001 | MSE | 3.84814786911 | PSNR | 42.2782860896141 | SSIM | 0.969974860084 | Delta_E | 0.517182804965
[2021-09-02 22:17:37,490] A: 026024, B: 026024_870001 | MSE | 4.54274551074 | PSNR | 41.55761952994147 | SSIM | 0.97001033366 | Delta_E | 0.593808528648
