[2021-09-02 01:56:57,122] A: 020147, B: 020147_870001 | MSE | 11.8284004529 | PSNR | 37.40154341635869 | SSMI | 0.946625579075 | Delta_E | 0.6691771666
[2021-09-02 01:57:02,592] A: 020148, B: 020148_870001 | MSE | 17.775539875 | PSNR | 35.63257560963373 | SSMI | 0.924244711705 | Delta_E | 0.725307158579
[2021-09-02 01:57:08,067] A: 020149, B: 020149_870001 | MSE | 29.7389983336 | PSNR | 33.397540243050614 | SSMI | 0.886175938995 | Delta_E | 1.14953978692
[2021-09-02 01:57:13,582] A: 020150, B: 020150_870001 | MSE | 21.9690596263 | PSNR | 34.71268893290419 | SSMI | 0.882353158288 | Delta_E | 0.82398699744
[2021-09-02 01:57:19,038] A: 020151, B: 020151_870001 | MSE | 12.0568519433 | PSNR | 37.31846433006547 | SSMI | 0.955134401625 | Delta_E | 0.700618253219
[2021-09-02 01:57:24,476] A: 020152, B: 020152_870001 | MSE | 22.3722834587 | PSNR | 34.63370047629293 | SSMI | 0.915767904618 | Delta_E | 0.948928009107
[2021-09-02 01:57:29,923] A: 020153, B: 020153_870001 | MSE | 18.9382441839 | PSNR | 35.35740648957211 | SSMI | 0.915263922922 | Delta_E | 0.88388065183
[2021-09-02 01:57:35,384] A: 020154, B: 020154_870001 | MSE | 14.8596851031 | PSNR | 36.410707546355276 | SSMI | 0.910912583985 | Delta_E | 0.682305793071
[2021-09-02 01:57:40,836] A: 020155, B: 020155_870001 | MSE | 4.98989709218 | PSNR | 41.149887717089946 | SSMI | 0.969209167093 | Delta_E | 0.351710342898
[2021-09-02 01:57:46,308] A: 020156, B: 020156_870001 | MSE | 17.5964856148 | PSNR | 35.67654422060263 | SSMI | 0.925199901625 | Delta_E | 0.854711200134
[2021-09-02 01:57:51,778] A: 020157, B: 020157_870001 | MSE | 16.2244753838 | PSNR | 36.02909698022456 | SSMI | 0.925503837437 | Delta_E | 0.799509910045
[2021-09-02 01:57:57,244] A: 020158, B: 020158_870001 | MSE | 41.7009487947 | PSNR | 31.929344245606384 | SSMI | 0.854380843534 | Delta_E | 1.34549040568
[2021-09-02 01:58:02,692] A: 020159, B: 020159_870001 | MSE | 24.8955008984 | PSNR | 34.16959492148144 | SSMI | 0.913459011653 | Delta_E | 1.04559484261
