[2021-09-02 17:50:52,647] A: 020026_001, B: 020026_001_1 | MSE | 9.90378284454 | PSNR | 38.17279251652532 | SSMI | 0.96662991409 | Delta_E | 0.665799401218
[2021-09-02 17:50:53,951] A: 020026_002, B: 020026_002_1 | MSE | 5.10008780162 | PSNR | 41.055027080192225 | SSMI | 0.973682186535 | Delta_E | 0.499278508511
[2021-09-02 17:50:55,255] A: 020026_003, B: 020026_003_1 | MSE | 8.35177135468 | PSNR | 38.91301764668784 | SSMI | 0.970526425246 | Delta_E | 0.62129221039
[2021-09-02 17:50:56,552] A: 020026_004, B: 020026_004_1 | MSE | 1.73334248861 | PSNR | 45.74195978063793 | SSMI | 0.984158632004 | Delta_E | 0.436615280295
[2021-09-02 17:50:57,851] A: 020027_001, B: 020027_001_1 | MSE | 1.70475991567 | PSNR | 45.81417135686927 | SSMI | 0.983784575473 | Delta_E | 0.406291145131
[2021-09-02 17:50:59,152] A: 020027_002, B: 020027_002_1 | MSE | 3.34158261617 | PSNR | 42.891281579240406 | SSMI | 0.981698467644 | Delta_E | 0.472299469919
[2021-09-02 17:51:00,454] A: 020027_003, B: 020027_003_1 | MSE | 1.60165659587 | PSNR | 46.08510954305355 | SSMI | 0.984117575185 | Delta_E | 0.408840785704
[2021-09-02 17:51:01,755] A: 020027_004, B: 020027_004_1 | MSE | 2.86251513163 | PSNR | 43.563325697759936 | SSMI | 0.983312577723 | Delta_E | 0.442717707855
[2021-09-02 17:51:03,058] A: 020028_001, B: 020028_001_1 | MSE | 2.5072482427 | PSNR | 44.13883025275961 | SSMI | 0.980977817438 | Delta_E | 0.388189912868
[2021-09-02 17:51:04,361] A: 020028_002, B: 020028_002_1 | MSE | 2.56419563293 | PSNR | 44.04129204661216 | SSMI | 0.980919798201 | Delta_E | 0.384423802847
[2021-09-02 17:51:05,664] A: 020028_003, B: 020028_003_1 | MSE | 3.95798238118 | PSNR | 42.15606504239374 | SSMI | 0.985932862532 | Delta_E | 0.369305346676
[2021-09-02 17:51:06,968] A: 020028_004, B: 020028_004_1 | MSE | 6.80559953054 | PSNR | 39.80213971029451 | SSMI | 0.979857214218 | Delta_E | 0.525863481323
[2021-09-02 17:51:08,270] A: 020029_001, B: 020029_001_1 | MSE | 0.638560930888 | PSNR | 50.078780173172674 | SSMI | 0.992619802246 | Delta_E | 0.114662186476
[2021-09-02 17:51:09,571] A: 020029_002, B: 020029_002_1 | MSE | 1.47171179454 | PSNR | 46.45257590470918 | SSMI | 0.990538555234 | Delta_E | 0.179891061376
[2021-09-02 17:51:10,872] A: 020029_003, B: 020029_003_1 | MSE | 0.563674608866 | PSNR | 50.62051888718619 | SSMI | 0.993107415121 | Delta_E | 0.107838617209
[2021-09-02 17:51:12,177] A: 020029_004, B: 020029_004_1 | MSE | 1.26023960114 | PSNR | 47.12627238323054 | SSMI | 0.991419877764 | Delta_E | 0.163530888546
[2021-09-02 17:51:13,488] A: 020030_001, B: 020030_001_1 | MSE | 13.96697553 | PSNR | 36.6797798860076 | SSMI | 0.955733146654 | Delta_E | 0.784281957284
[2021-09-02 17:51:14,790] A: 020030_002, B: 020030_002_1 | MSE | 9.87289746602 | PSNR | 38.1863573415179 | SSMI | 0.970142408942 | Delta_E | 0.626210497367
[2021-09-02 17:51:16,094] A: 020030_003, B: 020030_003_1 | MSE | 12.7501560847 | PSNR | 37.07564859524802 | SSMI | 0.959154263318 | Delta_E | 0.757152278899
[2021-09-02 17:51:17,396] A: 020030_004, B: 020030_004_1 | MSE | 7.53322188059 | PSNR | 39.3609960170575 | SSMI | 0.976663402474 | Delta_E | 0.534283960572
[2021-09-02 17:51:18,700] A: 020031_001, B: 020031_001_1 | MSE | 11.5232245127 | PSNR | 37.51506337324433 | SSMI | 0.971050394739 | Delta_E | 0.765323313833
